house_address,house_rental_area,house_orientation,house_layout,house_floor,house_rental_price,house_id,house_update_time,house_longitude,house_latitude,house_rental_method,house_tag,house_elevator,house_parking,house_water,house_electricity,house_gas,house_heating,create_time,city
成华-八里小区-浅水半岛二期,88.79㎡,东南,2室1厅1卫,低楼层（27层）,2600 元/月,CD2776858475496472576,2021-06-29,104.11204,30.693389,整租,//权属核验/近地铁/精装/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:03:06,成都
成华-八里小区-协信中心,80.94㎡,东南,2室1厅1卫,高楼层（31层）,3000 元/月,CD2792164613616582656,2021-06-27,104.105915,30.68684,整租,//权属核验/近地铁/精装/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:03:09,成都
成华-八里小区-隆发苑,74.87㎡,东,2室2厅1卫,高楼层（7层）,1700 元/月,CD2819600667461550080,2021-07-01,104.119228,30.689578,整租,//权属核验/新上/随时看房/,无,租用车位,民水,民电,有,自采暖,2021-07-03 13:03:14,成都
成华-成渝立交-富丽东方,18.00㎡,南,4室1厅1卫,高楼层（33层）,950 元/月,CD2668641147110563840,2021-06-25,104.16110276335,30.638063002787,合租,/权属核验/公寓/月租/精装/随时看房/,有,租用车位,民水,民电,有,集中供暖,2021-07-03 13:03:23,成都
成华-万年场-云水苑,88.86㎡,东南,2室1厅2卫,低楼层（38层）,2800 元/月,CD2798530069956665344,2021-07-03,104.140479,30.670836,整租,/权属核验/精装/双卫生间/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:03:30,成都
成华-八里小区-蓝光COCO时代,96.80㎡,东南,3室2厅2卫,高楼层（33层）,900 元/月,CD2623220439484743680,2021-06-19,104.110757,30.686905,合租,/权属核验/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:03:33,成都
成华-八里小区-中铁二局玛塞城,72.03㎡,东南,2室1厅1卫,高楼层（33层）,3100 元/月,CD2817254823366500352,2021-07-02,104.108732,30.68932,整租,/权属核验/业主自荐/精装/随时看房/,有,暂无数据,商水,商电,有,自采暖,2021-07-03 13:03:42,成都
成华-八里小区-浅水半岛80俊,35.74㎡,东南,1室1厅1卫,高楼层（25层）,1600 元/月,CD2817312396656246784,2021-06-28,104.112831,30.689232,整租,/权属核验/新上/,有,租用车位,民水,民电,有,暂无数据,2021-07-03 13:03:50,成都
成华-八里小区-八里阳光,113.61㎡,东,3室0厅0卫,高楼层（18层）,800 元/月,CD2820279025300414464,2021-06-30,104.113027,30.687653,合租,//权属核验/新上/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:03:53,成都
成华-成渝立交-富丽东方,17.00㎡,南,4室1厅1卫,中楼层（33层）,1050 元/月,CD2812546830204936192,2021-06-28,104.16110276335,30.638063002787,合租,/权属核验/公寓/精装/独立阳台/随时看房/,有,租用车位,民水,民电,有,集中供暖,2021-07-03 13:03:57,成都
成华-八里小区-中铁二局玛塞城,44.33㎡,东,1室1厅1卫,高楼层（32层）,2300 元/月,CD2657944352440975360,2021-06-27,104.108732,30.68932,整租,/权属核验/近地铁/精装/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:04:05,成都
成华-成渝立交-富丽东方,16.00㎡,南,4室1厅1卫,中楼层（33层）,980 元/月,CD2767368647478886400,2021-06-28,104.16110276335,30.638063002787,合租,/权属核验/公寓/月租/精装/随时看房/,有,租用车位,民水,民电,有,集中供暖,2021-07-03 13:04:10,成都
成华-八里小区-首创天禧68,98.98㎡,东南,1室0厅0卫,高楼层（29层）,900 元/月,CD2789770994485559296,2021-07-02,104.112651,30.684007,合租,/权属核验/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:04:13,成都
成华-八里小区-府青巷6号,64.58㎡,东南,2室1厅1卫,中楼层（7层）,1700 元/月,CD2808710887915913216,2021-07-01,104.113961,30.693548,整租,//权属核验/近地铁/精装/随时看房/,无,暂无数据,暂无数据,暂无数据,有,暂无数据,2021-07-03 13:04:18,成都
成华-八里小区-春熙苑二期,114.05㎡,西南,4室0厅0卫,中楼层（11层）,1000 元/月,CD2813807848985722880,2021-06-29,104.130663,30.686406,合租,/权属核验/近地铁/押一付一/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:04:24,成都
成华-八里小区-成功悦都,43.00㎡,东南,1室0厅1卫,中楼层（24层）,1900 元/月,CD2510848356633821184,2021-06-27,104.123274,30.685083,整租,/权属核验/近地铁/精装/随时看房/,有,租用车位,商水,商电,有,暂无数据,2021-07-03 13:04:30,成都
成华-八里小区-首创天禧68,98.60㎡,东南,3室1厅1卫,高楼层（40层）,1000 元/月,CD2740656697764233216,2021-06-27,104.112651,30.684007,合租,/权属核验/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:04:33,成都
