house_address,house_rental_area,house_orientation,house_layout,house_floor,house_rental_price,house_id,house_update_time,house_longitude,house_latitude,house_rental_method,house_tag,house_elevator,house_parking,house_water,house_electricity,house_gas,house_heating,create_time,city
锦江-合江亭-上行汇锦,78.40㎡,西,2室1厅1卫,高楼层（34层）,3500 元/月,CD2680398939244732416,2021-06-24,104.100048,30.656008,整租,/权属核验/近地铁/,有,暂无数据,民水,民电,有,暂无数据,2021-07-02 15:52:03,成都
锦江-三圣乡-华都美林湾,89.66㎡,西南,3室2厅1卫,中楼层（30层）,2300 元/月,CD2678774558764572672,2021-06-27,104.145772,30.596231,整租,/权属核验/精装/随时看房/,有,租用车位,民水,民电,有,暂无数据,2021-07-02 15:52:09,成都
锦江-三圣乡-华润置地自在域,39.79㎡,西南,1室1厅1卫,中楼层（18层）,1500 元/月,CD2681681737469132800,2021-06-21,104.14999425156999,30.596971070744,整租,/权属核验/,有,免费使用,暂无数据,暂无数据,无,暂无数据,2021-07-02 15:52:17,成都
锦江-三圣乡-华润置地自在域,36.00㎡,南北,1室0厅0卫,低楼层（35层）,1000 元/月,CD2681009204143063040,2021-06-26,104.14999425156999,30.596971070744,整租,/权属核验/近地铁/,有,暂无数据,商水,商电,有,暂无数据,2021-07-02 15:52:25,成都
锦江-东大路-天誉花园,46.73㎡,东南,1室1厅1卫,高楼层（26层）,3000 元/月,CD2745811325832658944,2021-06-26,104.119738,30.643333000000002,整租,/权属核验/精装/随时看房/,有,暂无数据,民水,民电,无,自采暖,2021-07-02 15:52:30,成都
锦江-合江亭-盈嘉赢家,60.00㎡,东,2室1厅1卫,高楼层（31层）,16000 元/月,CD2746375711790481408,2021-07-01,104.08782717931,30.658680334064,整租,/权属核验/近地铁/精装/随时看房/,有,租用车位,暂无数据,暂无数据,无,暂无数据,2021-07-02 15:52:39,成都
锦江-蓝谷地-大观苑二期,13.00㎡,东南,3室1厅1卫,高楼层（6层）,670 元/月,CD2651471350195568640,2021-05-11,104.14032806769,30.62079921024,合租,/公寓/精装/押一付一/随时看房/,无,租用车位,民水,民电,有,暂无数据,2021-07-02 15:52:44,成都
锦江-东大路-仁恒滨河湾,258.32㎡,东南,4室2厅4卫,中楼层（30层）,25000 元/月,CD2750009122882584576,2021-06-28,104.12360799999999,30.641609000000003,整租,/权属核验/近地铁/精装/,有,暂无数据,民水,民电,有,暂无数据,2021-07-02 15:52:53,成都
锦江-蓝谷地-东方丽景(锦江),13.00㎡,南,3室1厅1卫,中楼层（6层）,570 元/月,CD2651450605830414336,2021-05-11,104.13916026554001,30.615407089372,合租,/公寓/精装/押一付一/随时看房/,无,租用车位,民水,民电,有,暂无数据,2021-07-02 15:53:00,成都
锦江-合江亭-盈嘉商务公寓,94.68㎡,东,2室1厅2卫,低楼层（30层）,4000 元/月,CD2750054894751711232,2021-06-27,104.086924,30.65752,整租,/权属核验/近地铁/双卫生间/随时看房/,无,租用车位,暂无数据,暂无数据,有,暂无数据,2021-07-02 15:53:03,成都
