house_address,house_rental_area,house_orientation,house_layout,house_floor,house_rental_price,house_id,house_update_time,house_longitude,house_latitude,house_rental_method,house_tag,house_elevator,house_parking,house_water,house_electricity,house_gas,house_heating,create_time,city
郫都-成外-派克公馆,71.14㎡,东南,2室1厅1卫,高楼层（18层）,1800 元/月,CD2814588866869608448,2021-06-25,103.996741,30.733224,整租,//权属核验/近地铁/精装/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:13:30,成都
郫都-成外-中铁塔米亚,13.00㎡,南,5室1厅1卫,高楼层（11层）,730 元/月,CD2682415655541538816,2021-06-28,104.00117497752,30.735600599308,合租,/权属核验/公寓/精装/随时看房/,有,免费使用,民水,民电,有,集中供暖,2021-07-03 13:13:34,成都
郫都-成外-万科城臻园,90.01㎡,东北,3室1厅2卫,低楼层（21层）,3300 元/月,CD2815958081656061952,2021-06-30,103.986983,30.74526,整租,//权属核验/精装/双卫生间/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:13:42,成都
郫都-成外-中铁塔米亚,13.00㎡,南,5室1厅1卫,高楼层（11层）,729 元/月,CD2682415654367133696,2021-06-28,104.00117497752,30.735600599308,合租,/权属核验/公寓/精装/随时看房/,有,免费使用,民水,民电,有,集中供暖,2021-07-03 13:13:51,成都
郫都-成外-书香府邸二期英伦,85.00㎡,东南,2室1厅1卫,高楼层（16层）,3200 元/月,CD2815808393791406080,2021-07-01,103.985101,30.736576,整租,//权属核验/近地铁/精装/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:13:57,成都
郫都-成外-成都后花园三期,13.00㎡,东,4室1厅1卫,中楼层（25层）,740 元/月,CD2797894549543067648,2021-07-01,104.00348981866,30.742145885185,合租,/权属核验/公寓/精装/独立阳台/随时看房/,有,免费使用,民水,民电,有,集中供暖,2021-07-03 13:14:03,成都
郫都-犀浦-蓝光幸福满庭,68.50㎡,东南,3室1厅1卫,中楼层（26层）,2300 元/月,CD2821039159039770624,2021-07-02,103.98656,30.755804,整租,/权属核验/新上/近地铁/精装/,有,租用车位,民水,民电,有,自采暖,2021-07-03 13:14:07,成都
郫都-成外-书香府邸二期英伦,85.00㎡,西南,2室1厅1卫,低楼层（16层）,2800 元/月,CD2770140675549962240,2021-06-27,103.985101,30.736576,整租,/权属核验/近地铁/精装/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:14:16,成都
郫都-成外-天璟荟,37.81㎡,东南,2室1厅1卫,中楼层（11层）,1800 元/月,CD2814341338911211520,2021-07-01,103.996106,30.743084,整租,/权属核验/精装/,有,暂无数据,商水,商电,有,暂无数据,2021-07-03 13:14:22,成都
郫都-郫县城区-绿地国际花都三期,89.02㎡,东南,3室2厅1卫,中楼层（31层）,2000 元/月,CD2771745764815142912,2021-07-02,103.904917,30.792192,整租,/权属核验/精装/,有,租用车位,民水,民电,有,自采暖,2021-07-03 13:14:30,成都
