house_address,house_rental_area,house_orientation,house_layout,house_floor,house_rental_price,house_id,house_update_time,house_longitude,house_latitude,house_rental_method,house_tag,house_elevator,house_parking,house_water,house_electricity,house_gas,house_heating,create_time,city
青羊-贝森-双玺,80.59㎡,东南南,2室1厅1卫,低楼层（18层）,2300 元/月,CD2731995864813019136,2021-06-27,104.002985,30.676938,整租,//权属核验/近地铁/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-02 17:22:52,成都
青羊-外金沙-英伦金沙,74.42㎡,西北,2室1厅1卫,高楼层（24层）,1850 元/月,CD2733209232576094208,2021-06-27,103.996243,30.681245,整租,//权属核验/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-02 17:22:56,成都
青羊-万家湾-万科金色领域,87.23㎡,南,3室1厅1卫,低楼层（24层）,2700 元/月,CD2756474272771227648,2021-06-27,103.970672,30.67289,整租,//权属核验/精装/,有,租用车位,民水,民电,有,自采暖,2021-07-02 17:23:04,成都
青羊-人民公园-尊城国际,91.36㎡,南,2室1厅1卫,中楼层（36层）,4000 元/月,CD2616503065620529152,2021-06-23,104.060931,30.666811,整租,/权属核验/近地铁/精装/随时看房/,有,租用车位,商水,商电,有,自采暖,2021-07-02 17:23:07,成都
青羊-宽窄巷子-槐树街37号,74.70㎡,东南,2室1厅1卫,中楼层（7层）,2400 元/月,CD2600692038181855232,2021-06-26,104.060648,30.675508,整租,/权属核验/近地铁/,无,暂无数据,民水,民电,有,暂无数据,2021-07-02 17:23:15,成都
青羊-金沙-印象金沙,40.00㎡,南北,1室1厅1卫,高楼层（2层）,1800 元/月,CD2616461580011323392,2021-06-27,104.004275,30.689082,整租,/权属核验/近地铁/随时看房/,无,暂无数据,暂无数据,暂无数据,有,自采暖,2021-07-02 17:23:20,成都
青羊-光华泡小-置信丽都玉园天俊,143.52㎡,东,3室2厅2卫,高楼层（12层）,3800 元/月,CD2612990438655148032,2021-07-01,103.993959,30.668869,整租,/权属核验/精装/双卫生间/随时看房/,有,租用车位,民水,民电,有,自采暖,2021-07-02 17:23:25,成都
青羊-西南财大-仁和时代春天广场,58.70㎡,西南,1室1厅1卫,中楼层（21层）,4000 元/月,CD2605578313506226176,2021-06-27,104.02732703,30.66952232,整租,/权属核验/近地铁/精装/随时看房/,有,暂无数据,商水,商电,无,暂无数据,2021-07-02 17:23:27,成都
青羊-人民公园-冠城花园三期,105.55㎡,东南,3室2厅1卫,高楼层（20层）,3800 元/月,CD2728803888009854976,2021-06-30,104.059232,30.660168,整租,/权属核验/近地铁/精装/,有,租用车位,民水,民电,有,自采暖,2021-07-02 17:23:30,成都
青羊-宽窄巷子-同仁居,132.94㎡,东,3室2厅2卫,低楼层（9层）,4000 元/月,CD2727655139824369664,2021-06-27,104.057911,30.67593,整租,/权属核验/近地铁/双卫生间/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-02 17:23:36,成都
青羊-太升路-SG珊顿道,51.00㎡,东,1室1厅1卫,低楼层（41层）,3500 元/月,CD2607137444684382208,2021-06-27,104.075462,30.675424,整租,/权属核验/近地铁/精装/随时看房/,有,租用车位,民水,民电,有,暂无数据,2021-07-02 17:23:41,成都
青羊-西南财大-成都花园上城,103.78㎡,南,3室2厅2卫,中楼层（22层）,4400 元/月,CD2602167136630095872,2021-06-09,104.0221604,30.66471594,整租,/权属核验/近地铁/精装/双卫生间/,有,暂无数据,民水,民电,有,自采暖,2021-07-02 17:23:46,成都
青羊-草市街-白领尊邸,75.34㎡,东南,3室1厅2卫,低楼层（16层）,3500 元/月,CD2630941728139378688,2021-06-27,104.082755,30.681224,整租,/权属核验/近地铁/精装/双卫生间/,有,租用车位,民水,民电,有,暂无数据,2021-07-02 17:23:53,成都
青羊-府南新区-蔚蓝天地二期,109.29㎡,东南,3室1厅1卫,低楼层（11层）,3200 元/月,CD2733860410846347264,2021-06-26,104.026196,30.677339,整租,/权属核验/近地铁/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2021-07-02 17:24:02,成都
青羊-光华泡小-光华美邻,81.13㎡,南,2室1厅1卫,中楼层（19层）,2300 元/月,CD2731849997053337600,2021-06-27,103.99985,30.670703,整租,/权属核验/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2021-07-02 17:24:06,成都
青羊-人民公园-大石东路11号,64.47㎡,南,3室1厅1卫,中楼层（7层）,2200 元/月,CD2733908549502771200,2021-06-15,104.051982,30.658545,整租,/权属核验/近地铁/精装/,无,租用车位,民水,民电,暂无数据,暂无数据,2021-07-02 17:24:14,成都
