house_address,house_rental_area,house_orientation,house_layout,house_floor,house_rental_price,house_id,house_update_time,house_longitude,house_latitude,house_rental_method,house_tag,house_elevator,house_parking,house_water,house_electricity,house_gas,house_heating,create_time,city
双流-航空港-蓝光圣菲town城,88.02㎡,南,3室1厅1卫,中楼层（23层）,2200 元/月,CD2781671074885279744,2021-06-30,104.010697,30.573675,整租,//权属核验/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:11:46,成都
双流-华府-美城云庭,15.00㎡,南,5室1厅2卫,高楼层（32层）,770 元/月,CD2759346284702998528,2021-06-21,104.05134961961,30.540037599436,合租,/权属核验/公寓/近地铁/随时看房/,有,租用车位,民水,民电,有,暂无数据,2021-07-03 13:11:50,成都
双流-航空港-和贵久居福,51.41㎡,南,1室1厅1卫,高楼层（17层）,1600 元/月,CD2817914328211537920,2021-07-01,103.996528,30.572568,整租,//权属核验/新上/精装/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:11:54,成都
双流-航空港-蓝光圣菲悦城二期,12.00㎡,南,4室1厅1卫,中楼层（22层）,700 元/月,CD2643285453201219584,2021-06-21,,,合租,/权属核验/公寓/月租/精装/押一付一/随时看房/,有,租用车位,民水,民电,有,自采暖,2021-07-03 13:11:57,成都
双流-华府-中海右岸一期,103.57㎡,西南,3室2厅2卫,高楼层（33层）,2750 元/月,CD2817487140563460096,2021-07-01,104.03113868387,30.499521667928,整租,//权属核验/新上/近地铁/精装/双卫生间/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:12:02,成都
双流-航空港-蓝光圣菲悦城二期,15.00㎡,东,5室1厅2卫,中楼层（33层）,680 元/月,CD2807297829515558912,2021-06-23,104.0058123558,30.570488535398,合租,/权属核验/公寓/月租/精装/押一付一/随时看房/,有,免费使用,民水,民电,有,集中供暖,2021-07-03 13:12:11,成都
双流-华府-中海云麓世家,125.00㎡,南,4室2厅2卫,高楼层（34层）,3000 元/月,CD2782430063176990720,2021-06-27,104.024383,30.503656,整租,/权属核验/精装/双卫生间/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:12:14,成都
双流-蛟龙港-远大林语城南庭,97.00㎡,南,3室2厅1卫,高楼层（12层）,2300 元/月,CD2781967373312466944,2021-06-27,103.932878,30.604705,整租,/权属核验/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:12:19,成都
双流-蛟龙港-汇都商贸城,41.00㎡,南,1室1厅1卫,中楼层（10层）,600 元/月,CD2781862813961306112,2021-06-27,103.932663,30.612134,整租,/权属核验/随时看房/,有,暂无数据,商水,商电,无,暂无数据,2021-07-03 13:12:22,成都
双流-华府-天湖湾,131.00㎡,南北,4室2厅2卫,高楼层（24层）,4000 元/月,CD2781882990676934656,2021-06-27,104.025544,30.490546,整租,/权属核验/精装/双卫生间/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:12:31,成都
双流-航空港-和贵久居福,63.90㎡,东,2室1厅1卫,中楼层（18层）,2000 元/月,CD2817451831570481152,2021-06-28,103.996528,30.572568,整租,/权属核验/新上/精装/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:12:39,成都
双流-华府-美城云庭,15.00㎡,南,5室1厅2卫,高楼层（32层）,770 元/月,CD2810018235914141696,2021-06-21,104.05114797515,30.540459303111,合租,/权属核验/公寓/月租/近地铁/精装/,有,租用车位,民水,民电,有,暂无数据,2021-07-03 13:12:46,成都
双流-蛟龙港-蓝光长岛国际一期,135.00㎡,南,4室2厅2卫,中楼层（30层）,1700 元/月,CD2783856623293579264,2021-06-27,103.95861383239,30.639702568036,整租,/权属核验/精装/双卫生间/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:12:53,成都
双流-航空港-蓝光圣菲悦城二期,8.00㎡,东南,4室1厅1卫,中楼层（20层）,690 元/月,CD2729565730298404864,2021-06-21,104.00408700565,30.57091921014,合租,/权属核验/公寓/月租/精装/随时看房/,有,租用车位,民水,民电,有,暂无数据,2021-07-03 13:13:01,成都
双流-航空港-蓝光圣菲town城,77.00㎡,东南,2室1厅1卫,高楼层（23层）,2200 元/月,CD2783203779892756480,2021-06-27,104.010697,30.573675,整租,/权属核验/精装/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:13:04,成都
双流-航空港-成都早晨,87.09㎡,南,2室1厅1卫,中楼层（14层）,1800 元/月,CD2783301185942061056,2021-06-26,103.996255,30.581572,整租,//权属核验/精装/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:13:07,成都
双流-东升镇-碧桂园·海德ONE99,120.00㎡,南,4室2厅2卫,中楼层（19层）,2000 元/月,CD2783297412830068736,2021-06-27,103.887963,30.57919,整租,/权属核验/双卫生间/,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2021-07-03 13:13:11,成都
双流-航空港-大成郡,67.71㎡,东南,2室2厅1卫,中楼层（15层）,2200 元/月,CD2818023065492135936,2021-07-01,103.984414,30.568035,整租,/权属核验/新上/精装/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:13:15,成都
双流-华府-中国铁建西派国樾,170.00㎡,东南,4室2厅2卫,高楼层（9层）,10000 元/月,CD2818911206126403584,2021-07-02,104.024411,30.50017,整租,/权属核验/新上/精装/双卫生间/,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2021-07-03 13:13:20,成都
双流-航空港-韩国城二期,58.10㎡,东,1室1厅0卫,高楼层（18层）,1600 元/月,CD2784795666730459136,2021-06-22,104.014709,30.578532,整租,/权属核验/近地铁/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:13:25,成都
双流-华府-南湖逸家二期,66.10㎡,北,3室2厅1卫,中楼层（30层）,2300 元/月,CD2818955581653008384,2021-06-29,104.032954,30.498287,整租,/权属核验/新上/近地铁/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:13:33,成都
双流-航空港-警馨苑,13.00㎡,南,5室1厅2卫,高楼层（18层）,680 元/月,CD2648521439074066432,2021-06-23,104.00585168393,30.568941219121,合租,/权属核验/公寓/月租/精装/押一付一/随时看房/,有,租用车位,民水,民电,有,暂无数据,2021-07-03 13:13:37,成都
双流-蛟龙港-万科第五城,78.00㎡,东,3室2厅1卫,中楼层（27层）,2000 元/月,CD2818739299968106496,2021-06-29,103.93363174216,30.636052552707,整租,//权属核验/新上/近地铁/精装/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:13:44,成都
双流-航空港-蓝光圣菲悦城二期,10.00㎡,东南,5室1厅2卫,中楼层（33层）,600 元/月,CD2666614193305681920,2021-06-23,104.0058123558,30.570488535398,合租,/权属核验/公寓/月租/精装/押一付一/随时看房/,有,免费使用,民水,民电,有,集中供暖,2021-07-03 13:13:51,成都
双流-蛟龙港-北京城建龙樾湾,49.50㎡,南北,4室2厅2卫,中楼层（34层）,3000 元/月,CD2818956108381552640,2021-06-30,103.905204,30.601161,整租,/权属核验/业主自荐/新上/精装/双卫生间/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:14:00,成都
双流-华府-美城云庭,13.00㎡,南,5室1厅2卫,高楼层（32层）,710 元/月,CD2669590887163494400,2021-07-02,104.05134961961,30.540037599436,合租,/权属核验/公寓/近地铁/精装/独立阳台/押一付一/随时看房/,有,租用车位,民水,民电,有,暂无数据,2021-07-03 13:14:03,成都
双流-航空港-骑士郡锦程二期,70.05㎡,东,3室2厅2卫,高楼层（18层）,2700 元/月,CD2818665086363631616,2021-07-01,104.004311,30.581285,整租,/权属核验/新上/近地铁/精装/双卫生间/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:14:09,成都
双流-华府-美城云庭,11.00㎡,西南,5室1厅2卫,中楼层（32层）,780 元/月,CD2429505196418662400,2021-06-21,104.05134961961,30.540037599436,合租,/权属核验/公寓/月租/近地铁/精装/押一付一/,有,租用车位,民水,民电,有,暂无数据,2021-07-03 13:14:18,成都
双流-华府-棠湖泊林城,190.76㎡,南,5室2厅3卫,低楼层（4层）,3500 元/月,CD2818704078736203776,2021-07-01,104.029391,30.514012,整租,/权属核验/新上/,无,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:14:24,成都
双流-航空港-翰林南城,13.00㎡,南,5室1厅2卫,高楼层（6层）,650 元/月,CD2589790915451699200,2021-06-24,103.99612926554,30.576400730961,合租,/权属核验/公寓/精装/随时看房/,无,租用车位,民水,民电,有,暂无数据,2021-07-03 13:14:32,成都
双流-航空港-翰林南城,155.39㎡,南,4室1厅1卫,高楼层（6层）,2500 元/月,CD2791233563926724608,2021-07-02,103.996846,30.576567,整租,/权属核验/精装/,无,租用车位,民水,民电,有,自采暖,2021-07-03 13:14:38,成都
双流-航空港-韩国城三期,55.30㎡,北,1室0厅1卫,高楼层（18层）,1500 元/月,CD2801535537192632320,2021-06-30,104.015692,30.578071,整租,/权属核验/近地铁/精装/,有,租用车位,商水,商电,有,暂无数据,2021-07-03 13:14:45,成都
双流-航空港-空港十六区,80.49㎡,南,2室1厅1卫,低楼层（18层）,2100 元/月,CD2802257796341702656,2021-06-27,104.006676,30.583669,整租,//权属核验/近地铁/精装/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:14:53,成都
双流-航空港-温哥华南苑,10.00㎡,东南,5室1厅2卫,低楼层（17层）,650 元/月,CD2729518532156203008,2021-06-21,103.99505864999,30.577067762489,合租,/权属核验/公寓/月租/精装/独立阳台/押一付一/随时看房/,有,租用车位,民水,民电,有,暂无数据,2021-07-03 13:14:56,成都
双流-航空港-温哥华花园四期,153.15㎡,南,1室0厅1卫,低楼层（16层）,1500 元/月,CD2812452671486181376,2021-07-01,103.992734,30.579095,整租,/权属核验/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:15:03,成都
双流-蛟龙港-华润公园九里三期,103.00㎡,南,4室1厅1卫,低楼层（28层）,2000 元/月,CD2640407159275798528,2021-06-20,103.935634,30.638286,整租,/权属核验/月租/近地铁/精装/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:15:06,成都
双流-蛟龙港-佳兆业8号君樾,88.00㎡,东东南南,3室1厅1卫,中楼层（14层）,2200 元/月,CD2670931163803295744,2021-06-30,103.92816249016,30.595681453775,整租,/权属核验/新上/精装/随时看房/,有,暂无数据,暂无数据,暂无数据,有,暂无数据,2021-07-03 13:15:12,成都
双流-蛟龙港-蓝光长岛国际一期,154.00㎡,南,4室2厅3卫,低楼层（30层）,1600 元/月,CD2765755156099776512,2021-06-23,103.95861383239,30.639702568036,整租,/权属核验/精装/随时看房/,有,租用车位,民水,民电,有,暂无数据,2021-07-03 13:15:17,成都
双流-蛟龙港-蓝光长岛国际一期,150.00㎡,南,4室2厅3卫,中楼层（30层）,1200 元/月,CD2773857842741395456,2021-07-02,103.95861383239,30.639702568036,整租,//权属核验/精装/,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2021-07-03 13:15:22,成都
双流-航空港-温哥华南苑,10.00㎡,南,5室1厅2卫,低楼层（17层）,700 元/月,CD2729559545713541120,2021-06-21,103.99505864999,30.577067762489,合租,/权属核验/公寓/月租/精装/独立阳台/押一付一/随时看房/,有,租用车位,民水,民电,有,暂无数据,2021-07-03 13:15:28,成都
双流-蛟龙港-四季金悦,70.00㎡,南,2室1厅1卫,低楼层（12层）,1550 元/月,CD2799232106318790656,2021-06-20,103.941138,30.603602,整租,/权属核验/近地铁/精装/,有,暂无数据,暂无数据,暂无数据,有,暂无数据,2021-07-03 13:15:33,成都
双流-航空港-温哥华南苑,15.00㎡,南,5室1厅2卫,低楼层（17层）,800 元/月,CD2729550391712169984,2021-06-21,103.99505864999,30.577067762489,合租,/权属核验/公寓/月租/精装/独立阳台/押一付一/随时看房/,有,租用车位,民水,民电,有,暂无数据,2021-07-03 13:15:41,成都
双流-牧马山-半山卫城朴墅,283.00㎡,南,4室2厅3卫,低楼层（1层）,13670 元/月,CD2586904433716117504,2021-06-27,103.925609,30.542398,整租,/权属核验/精装/,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2021-07-03 13:15:45,成都
双流-牧马山-牧马山易城,270.00㎡,南,4室2厅3卫,低楼层（3层）,8000 元/月,CD2760821947629060096,2021-06-27,103.917648,30.528906,整租,/权属核验/精装/,无,暂无数据,暂无数据,暂无数据,有,暂无数据,2021-07-03 13:15:52,成都
双流-牧马山-葛洲坝紫郡蘭园,101.00㎡,南,3室2厅1卫,高楼层（16层）,3000 元/月,CD2774614712825159680,2021-06-27,103.984055,30.554256,整租,/权属核验/近地铁/精装/,无,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:15:56,成都
双流-牧马山-华新花予墅,173.00㎡,南,5室2厅4卫,低楼层（1层）,3000 元/月,CD2817510010618658816,2021-06-30,103.920006,30.542286,整租,/权属核验/业主自荐/新上/近地铁/,无,暂无数据,暂无数据,暂无数据,有,自采暖,2021-07-03 13:16:00,成都
