house_address,house_rental_area,house_orientation,house_layout,house_floor,house_rental_price,house_id,house_update_time,house_longitude,house_latitude,house_rental_method,house_tag,house_elevator,house_parking,house_water,house_electricity,house_gas,house_heating,create_time,city
天府新区-锦江生态带-融创玖棠府,148.00㎡,东南,4室2厅2卫,中楼层（44层）,3400 元/月,CD2652924775240318976,2021-06-30,104.057806,30.455509,整租,//权属核验/精装/双卫生间/随时看房/,无,免费使用,民水,民电,有,暂无数据,2021-07-03 13:09:51,成都
天府新区-华阳-保利锦江里,20.00㎡,东南,4室1厅2卫,低楼层（33层）,1500 元/月,CD2667261383129186304,2021-06-27,104.06914735129,30.53938376616,合租,/权属核验/公寓/独立卫生间/近地铁/精装/押一付一/随时看房/,有,免费使用,民水,民电,有,集中供暖,2021-07-03 13:09:57,成都
天府新区-麓山-麓山国际云曦台,99.20㎡,东北,3室2厅2卫,中楼层（30层）,2800 元/月,CD2414302213658132480,2021-06-22,104.109201,30.48668,整租,//权属核验/精装/双卫生间/随时看房/,有,免费使用,民水,民电,有,暂无数据,2021-07-03 13:10:02,成都
天府新区-麓山-天府万科云城,43.22㎡,东南,1室1厅1卫,高楼层（22层）,2880 元/月,CD2802046877485506560,2021-06-09,104.094032,30.395221,整租,/权属核验/公寓/月租/精装/随时看房/,无,免费使用,民水,民电,无,暂无数据,2021-07-03 13:10:10,成都
天府新区-锦江生态带-融创玖棠府,114.00㎡,东西,3室2厅2卫,中楼层（34层）,2500 元/月,CD2611365670134489088,2021-06-19,104.057806,30.455509,整租,//权属核验/精装/双卫生间/随时看房/,有,暂无数据,暂无数据,民电,有,暂无数据,2021-07-03 13:10:14,成都
天府新区-麓山-天府万科云城,31.18㎡,西南,1室1厅1卫,中楼层（28层）,1980 元/月,CD2799890638823497728,2021-06-09,104.094032,30.395221,整租,/权属核验/公寓/月租/精装/押一付一/随时看房/,有,免费使用,商水,商电,无,暂无数据,2021-07-03 13:10:22,成都
天府新区-海洋公园-南延线蔚蓝卡地亚,300.00㎡,南,5室2厅4卫,低楼层（3层）,7000 元/月,CD2500551826064015360,2021-06-08,104.081388,30.487053,整租,/权属核验/近地铁/随时看房/,无,免费使用,民水,民电,有,暂无数据,2021-07-03 13:10:27,成都
天府新区-锦江生态带-恒大天府半岛三期,130.00㎡,东南,4室2厅2卫,低楼层（39层）,3000 元/月,CD2526621048644829184,2021-06-26,104.06707907652,30.485169880149,整租,/权属核验/近地铁/精装/双卫生间/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:10:33,成都
天府新区-华阳-锦官丽城亲水湾,160.37㎡,东南,3室3厅3卫,低楼层（1层）,6800 元/月,CD2508503046087524352,2021-06-27,104.069312,30.527685,整租,/权属核验/,无,暂无数据,民水,民电,有,自采暖,2021-07-03 13:10:40,成都
天府新区-麓山-麓山国际帕萨迪纳2组,120.71㎡,南,3室2厅2卫,中楼层（4层）,3800 元/月,CD2522492804673323008,2021-06-30,104.102923,30.487438,整租,/权属核验/精装/双卫生间/随时看房/,无,暂无数据,民水,民电,有,自采暖,2021-07-03 13:10:44,成都
天府新区-南湖-中海锦江壹号,127.00㎡,东南,4室2厅2卫,中楼层（18层）,3200 元/月,CD2555718809080037376,2021-07-02,104.047069,30.484418,整租,/权属核验/精装/双卫生间/随时看房/,无,租用车位,民水,民电,有,暂无数据,2021-07-03 13:10:52,成都
天府新区-麓山-天府万科云城,32.00㎡,南,1室1厅1卫,中楼层（28层）,2880 元/月,CD2799334346228768768,2021-06-10,104.094032,30.395221,整租,/权属核验/公寓/月租/精装/随时看房/,无,免费使用,商水,商电,无,暂无数据,2021-07-03 13:10:57,成都
天府新区-南湖-中海锦江城花涧三期,127.00㎡,南北,4室2厅2卫,低楼层（10层）,3000 元/月,CD2534685990602686464,2021-07-02,104.04869906806,30.485162546268,整租,/权属核验/精装/双卫生间/随时看房/,无,租用车位,暂无数据,民电,有,暂无数据,2021-07-03 13:11:01,成都
天府新区-华阳-益州国际,15.00㎡,南,3室1厅1卫,低楼层（34层）,1200 元/月,CD2805599824739835904,2021-06-16,104.06121970797,30.534288624608,合租,/公寓/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:11:08,成都
天府新区-南湖-中海锦江壹号,135.00㎡,北,4室2厅2卫,高楼层（10层）,2500 元/月,CD2563783298749317120,2021-07-02,104.047069,30.484418,整租,/权属核验/精装/双卫生间/随时看房/,无,租用车位,暂无数据,民电,有,暂无数据,2021-07-03 13:11:11,成都
天府新区-南湖-中海锦江壹号,146.00㎡,西南,4室2厅3卫,低楼层（18层）,3000 元/月,CD2537792357089419264,2021-06-27,104.047069,30.484418,整租,/权属核验/精装/,有,租用车位,暂无数据,暂无数据,有,暂无数据,2021-07-03 13:11:19,成都
天府新区-南湖-中海锦江城花涧三期,112.00㎡,南北,3室2厅2卫,高楼层（10层）,2500 元/月,CD2540343658998407168,2021-06-28,104.04869906806,30.485162546268,整租,/权属核验/精装/双卫生间/随时看房/,无,租用车位,暂无数据,暂无数据,有,暂无数据,2021-07-03 13:11:27,成都
天府新区-麓山-麓山国际半月湾,78.04㎡,东南,2室1厅1卫,高楼层（16层）,3500 元/月,CD2565277987264004096,2021-06-29,104.108361,30.484976,整租,/权属核验/精装/,有,免费使用,民水,民电,有,自采暖,2021-07-03 13:11:30,成都
天府新区-麓山-置富广场,35.00㎡,南,1室1厅1卫,低楼层（15层）,1500 元/月,CD2594828947632168960,2021-06-20,104.101963,30.451327,整租,/权属核验/近地铁/随时看房/,有,暂无数据,民水,民电,暂无数据,暂无数据,2021-07-03 13:11:39,成都
天府新区-锦江生态带-复地御香山,386.81㎡,南,5室2厅5卫,低楼层（3层）,16000 元/月,CD2594120301617364992,2021-06-22,104.072969,30.479841,整租,/权属核验/近地铁/随时看房/,无,暂无数据,暂无数据,暂无数据,有,自采暖,2021-07-03 13:11:46,成都
天府新区-麓山-天投北鑫苑,147.33㎡,东,4室2厅2卫,高楼层（26层）,5000 元/月,CD2592704003058180096,2021-06-04,104.08694,30.411644,整租,/权属核验/近地铁/精装/双卫生间/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:11:50,成都
天府新区-华阳-金茂光明城市,12.00㎡,南,4室1厅2卫,高楼层（34层）,900 元/月,CD2805598954689921024,2021-07-01,104.05429118918,30.533237615965,合租,/公寓/近地铁/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:11:59,成都
天府新区-麓山-天投北鑫苑,205.89㎡,东,5室2厅3卫,高楼层（23层）,4000 元/月,CD2608048147016196096,2021-06-24,104.08694,30.411644,整租,/权属核验/近地铁/随时看房/,有,暂无数据,暂无数据,暂无数据,有,暂无数据,2021-07-03 13:12:04,成都
天府新区-锦江生态带-恒大天府半岛4期,10.00㎡,南,5室1厅2卫,低楼层（45层）,650 元/月,CD2805600911794651136,2021-06-17,104.06382915441,30.48444198621,合租,/公寓/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:12:13,成都
天府新区-麓山-心怡中丝园,31.24㎡,东,3室2厅2卫,高楼层（33层）,3000 元/月,CD2607840853641150464,2021-06-27,104.095688,30.496357,整租,/权属核验/精装/双卫生间/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:12:20,成都
天府新区-华阳-金茂光明城市,8.00㎡,南,5室1厅2卫,低楼层（34层）,700 元/月,CD2805600087630422016,2021-06-16,104.05429118918,30.533237615965,合租,/公寓/近地铁/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:12:25,成都
