house_address,house_rental_area,house_orientation,house_layout,house_floor,house_rental_price,house_id,house_update_time,house_longitude,house_latitude,house_rental_method,house_tag,house_elevator,house_parking,house_water,house_electricity,house_gas,house_heating,create_time,city
温江-温江新城-和信孔雀天成,81.16㎡,东南,2室1厅1卫,中楼层（26层）,1800 元/月,CD2814335126048620544,2021-07-02,103.848716,30.689934,整租,//权属核验/近地铁/随时看房/,有,免费使用,民水,民电,有,暂无数据,2021-07-03 13:12:35,成都
温江-光华大道沿线-金河谷一期,17.00㎡,南,5室2厅2卫,高楼层（18层）,580 元/月,CD2819438529896259584,2021-07-02,103.90333258901,30.681696727548,合租,/权属核验/新上/公寓/精装/随时看房/,有,租用车位,民水,民电,有,暂无数据,2021-07-03 13:12:41,成都
温江-珠江新城-佳兆业丽晶港,71.51㎡,东南,2室2厅1卫,中楼层（40层）,1600 元/月,CD2814655833093177344,2021-07-01,103.87781087474,30.688063705979,整租,//权属核验/近地铁/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:12:47,成都
温江-光华大道沿线-洲际银海湾,12.00㎡,东南,5室1厅1卫,低楼层（32层）,550 元/月,CD2811793810231926784,2021-06-18,103.89346258924,30.689129389431,合租,/权属核验/公寓/月租/近地铁/精装/押一付一/随时看房/,有,租用车位,民水,民电,有,集中供暖,2021-07-03 13:12:52,成都
温江-光华大道沿线-合能珍宝琥珀三期,79.65㎡,南,3室1厅1卫,中楼层（33层）,1700 元/月,CD2814479443559989248,2021-06-23,103.884081,30.679698,整租,//权属核验/近地铁/精装/,有,租用车位,民水,民电,有,自采暖,2021-07-03 13:12:58,成都
温江-光华大道沿线-中国西部文化城,12.00㎡,东,5室1厅3卫,中楼层（7层）,500 元/月,CD2483525639417118720,2021-07-01,103.88811,30.674774,合租,/权属核验/公寓/月租/精装/押一付一/随时看房/,有,免费使用,民水,民电,有,集中供暖,2021-07-03 13:13:05,成都
温江-花都大道-朝阳时代西锦,87.97㎡,东南,2室1厅1卫,低楼层（33层）,1800 元/月,CD2813177321983582208,2021-06-28,103.873377,30.698827,整租,/权属核验/精装/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:13:13,成都
温江-花都大道-千禧河畔C区,80.99㎡,东,3室1厅1卫,中楼层（33层）,2200 元/月,CD2814471349215698944,2021-07-01,103.893591,30.694462,整租,/权属核验/精装/,有,租用车位,民水,民电,有,暂无数据,2021-07-03 13:13:22,成都
温江-温江大学城-西财学府尚郡,127.97㎡,南,4室2厅2卫,低楼层（11层）,2000 元/月,CD2770836525162962944,2021-06-29,103.818163,30.681079,整租,/权属核验/近地铁/双卫生间/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:13:26,成都
温江-花都大道-蓝润光华春天A区,95.00㎡,东,3室2厅2卫,高楼层（34层）,2500 元/月,CD2771745335662886912,2021-06-23,103.89347,30.696434,整租,/权属核验/精装/双卫生间/,有,租用车位,民水,民电,有,自采暖,2021-07-03 13:13:30,成都
温江-花都大道-蓝润光华春天A区,81.00㎡,东,3室1厅1卫,高楼层（27层）,2300 元/月,CD2771742687647506432,2021-06-09,103.89347,30.696434,整租,/权属核验/精装/随时看房/,有,租用车位,民水,民电,有,暂无数据,2021-07-03 13:13:32,成都
温江-温江新城-金恒德时代金悦,15.00㎡,东南,4室1厅1卫,中楼层（32层）,620 元/月,CD2313932563271925760,2021-06-29,103.8684893763,30.681590783187,合租,/权属核验/公寓/月租/精装/押一付一/随时看房/,有,免费使用,民水,民电,有,集中供暖,2021-07-03 13:13:38,成都
温江-花都大道-千禧河畔C区,81.20㎡,东,3室1厅1卫,高楼层（33层）,2200 元/月,CD2771739576019468288,2021-06-09,103.893591,30.694462,整租,/权属核验/精装/,有,租用车位,民水,民电,有,暂无数据,2021-07-03 13:13:41,成都
温江-温江新城-金恒德时代金悦,15.00㎡,东,4室1厅1卫,低楼层（31层）,600 元/月,CD2341395849105915904,2021-06-29,103.87092670736,30.681232340572,合租,/权属核验/公寓/月租/精装/押一付一/随时看房/,有,免费使用,民水,民电,有,集中供暖,2021-07-03 13:13:43,成都
温江-温江大学城-农校家属院,126.81㎡,东南,3室2厅2卫,中楼层（6层）,1600 元/月,CD2770252452006731776,2021-06-09,103.825732,30.70133,整租,/权属核验/双卫生间/随时看房/,无,租用车位,民水,民电,有,自采暖,2021-07-03 13:13:49,成都
温江-温江老城-西蜀尚都,64.37㎡,南,2室2厅1卫,低楼层（18层）,1500 元/月,CD2770368680448491520,2021-06-21,103.862477,30.703537,整租,/权属核验/近地铁/,有,租用车位,民水,民电,有,自采暖,2021-07-03 13:13:54,成都
温江-珠江新城-佳兆业丽晶港,119.80㎡,西南,4室2厅2卫,中楼层（33层）,2800 元/月,CD2771116814284103680,2021-06-30,103.87781087474,30.688063705979,整租,/权属核验/近地铁/精装/双卫生间/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:14:00,成都
温江-花都大道-蓝润光华春天B区,81.55㎡,东,3室1厅1卫,中楼层（31层）,2200 元/月,CD2771611621401821184,2021-06-25,103.89658531974,30.696493049215,整租,/权属核验/精装/随时看房/,有,租用车位,民水,民电,有,暂无数据,2021-07-03 13:14:04,成都
温江-光华大道沿线-万科朗润园,124.28㎡,东南,3室1厅2卫,低楼层（33层）,2500 元/月,CD2815232675403530240,2021-07-02,103.897897,30.686096,整租,//权属核验/近地铁/精装/双卫生间/随时看房/,有,租用车位,民水,民电,有,自采暖,2021-07-03 13:14:09,成都
温江-国色天乡-鹭湖宫13区,138.00㎡,南北,4室2厅2卫,中楼层（20层）,900 元/月,CD2815061511628652544,2021-07-01,103.83030165652,30.738985598372,整租,/权属核验/双卫生间/,有,暂无数据,暂无数据,暂无数据,有,自采暖,2021-07-03 13:14:12,成都
温江-温江大学城-明信城,89.00㎡,东南,3室2厅2卫,低楼层（33层）,2200 元/月,CD2815162766975827968,2021-07-02,103.83958,30.68478,整租,/权属核验/近地铁/精装/双卫生间/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:14:20,成都
温江-光华大道沿线-合能珍宝琥珀,12.00㎡,东,4室1厅1卫,高楼层（34层）,500 元/月,CD2358124370435506176,2021-06-30,103.89351902102,30.677976167907,合租,/权属核验/公寓/月租/近地铁/精装/押一付一/随时看房/,有,免费使用,民水,民电,有,集中供暖,2021-07-03 13:14:28,成都
温江-花都大道-佳年华新生活A区,79.95㎡,东南,3室2厅1卫,高楼层（33层）,2300 元/月,CD2815152845182214144,2021-07-02,103.889194,30.694426,整租,/权属核验/精装/随时看房/,有,租用车位,商水,商电,有,暂无数据,2021-07-03 13:14:36,成都
温江-光华大道沿线-中国西部文化城,14.50㎡,东,4室1厅1卫,低楼层（18层）,620 元/月,CD2356657940289044480,2021-07-01,103.88881950632,30.674784062447,合租,/权属核验/公寓/月租/精装/押一付一/随时看房/,有,免费使用,民水,民电,有,集中供暖,2021-07-03 13:14:43,成都
温江-温江新城-格凌兰,87.77㎡,西北,3室1厅1卫,中楼层（32层）,2000 元/月,CD2815210094613241856,2021-06-27,103.854266,30.6906,整租,/权属核验/近地铁/精装/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:14:50,成都
温江-光华大道沿线-合能珍宝琥珀三期,15.00㎡,东,4室1厅1卫,中楼层（32层）,550 元/月,CD2357771079218905088,2021-06-21,103.88182069269,30.678000379003,合租,/权属核验/公寓/月租/精装/独立阳台/押一付一/随时看房/,有,免费使用,民水,民电,有,集中供暖,2021-07-03 13:14:55,成都
温江-光华大道沿线-洲际亚洲湾A区,81.56㎡,东南,2室2厅1卫,高楼层（38层）,2200 元/月,CD2815272533757272064,2021-07-01,103.887978,30.68813,整租,//权属核验/精装/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:15:01,成都
温江-光华大道沿线-洲际春天广场,15.00㎡,东,4室1厅1卫,高楼层（38层）,600 元/月,CD2457398894053826560,2021-06-19,103.87783957602,30.681149432081,合租,/权属核验/公寓/月租/精装/独立阳台/押一付一/随时看房/,有,免费使用,民水,民电,有,集中供暖,2021-07-03 13:15:05,成都
温江-光华大道沿线-金科天宸B区,89.54㎡,南北,3室1厅2卫,中楼层（26层）,1800 元/月,CD2773244861527097344,2021-06-12,103.88633044204,30.671324604197,整租,/权属核验/精装/双卫生间/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:15:13,成都
