house_address,house_rental_area,house_orientation,house_layout,house_floor,house_rental_price,house_id,house_update_time,house_longitude,house_latitude,house_rental_method,house_tag,house_elevator,house_parking,house_water,house_electricity,house_gas,house_heating,create_time,city
武侯-武侯立交-置信巴厘岛A区,86.96㎡,东,3室1厅1卫,中楼层（13层）,3000 元/月,CD2783298870594519040,2021-06-27,104.007702,30.634621,整租,//权属核验/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-02 17:24:59,成都
武侯-五大花园-龙湖金楠天街,78.26㎡,东南,2室1厅1卫,高楼层（24层）,2800 元/月,CD2782530916893851648,2021-06-29,104.001737,30.653101,整租,//权属核验/精装/随时看房/,有,租用车位,民水,民电,有,自采暖,2021-07-02 17:25:04,成都
武侯-新双楠-中铁骑士公馆,69.86㎡,东,2室1厅1卫,低楼层（18层）,2600 元/月,CD2813125273925992448,2021-06-29,103.996215,30.625912,整租,//权属核验/精装/,有,租用车位,民水,民电,有,暂无数据,2021-07-02 17:25:12,成都
武侯-双楠-月光琉域,75.61㎡,南,2室1厅1卫,低楼层（17层）,3100 元/月,CD2783282992419192832,2021-06-28,104.03473054,30.64604515,整租,/权属核验/近地铁/精装/,有,租用车位,民水,民电,有,自采暖,2021-07-02 17:25:16,成都
武侯-高升桥-罗浮世家一期,173.41㎡,西南,4室2厅2卫,中楼层（14层）,6000 元/月,CD2783305758832599040,2021-06-27,104.044692,30.643764,整租,/权属核验/精装/双卫生间/,有,暂无数据,民水,民电,有,暂无数据,2021-07-02 17:25:22,成都
武侯-新双楠-保利花园三期,113.00㎡,南北,2室2厅2卫,高楼层（15层）,5000 元/月,CD2783842606465941504,2021-06-27,103.99778796,30.62539794,整租,/权属核验/近地铁/精装/双卫生间/,有,暂无数据,民水,民电,有,自采暖,2021-07-02 17:25:27,成都
武侯-丽都-优客联邦三期,93.73㎡,东南,3室1厅1卫,低楼层（18层）,3800 元/月,CD2783215190714892288,2021-06-27,104.037631,30.637797,整租,/权属核验/精装/,有,租用车位,民水,民电,有,自采暖,2021-07-02 17:25:36,成都
武侯-丽都-中粮香颂丽都,76.96㎡,东南东北,3室2厅1卫,高楼层（19层）,3900 元/月,CD2812867999177392128,2021-06-27,104.039321,30.628869,整租,/权属核验/近地铁/精装/,有,租用车位,民水,民电,有,暂无数据,2021-07-02 17:25:45,成都
武侯-武侯立交-中华名园三期C区,130.49㎡,东南,3室2厅2卫,低楼层（16层）,3800 元/月,CD2813631997086539776,2021-06-29,104.007771,30.640956,整租,//权属核验/精装/双卫生间/随时看房/,有,租用车位,民水,民电,有,自采暖,2021-07-02 17:25:52,成都
武侯-川大-好望角,36.56㎡,西,1室0厅1卫,中楼层（6层）,1800 元/月,CD2813131837222682624,2021-06-27,104.092974,30.643535,整租,/权属核验/精装/,有,暂无数据,民水,民电,有,暂无数据,2021-07-02 17:25:55,成都
武侯-草金立交-美泉悦府,115.55㎡,南,3室1厅2卫,中楼层（18层）,3000 元/月,CD2813804549587353600,2021-06-30,103.977568,30.646636,整租,//权属核验/近地铁/精装/双卫生间/随时看房/,无,租用车位,民水,民电,有,暂无数据,2021-07-02 17:25:59,成都
武侯-草金立交-武青嘉苑,79.31㎡,南,3室1厅1卫,高楼层（6层）,2300 元/月,CD2813669667430998016,2021-07-01,103.998495,30.640121,整租,//权属核验/,无,租用车位,民水,民电,有,自采暖,2021-07-02 17:26:08,成都
武侯-丽都-优客联邦一期,54.14㎡,东南,2室1厅1卫,中楼层（15层）,2700 元/月,CD2813192124110217216,2021-06-27,104.03824234,30.63947438,整租,/权属核验/近地铁/精装/,有,暂无数据,民水,民电,有,暂无数据,2021-07-02 17:26:11,成都
武侯-外双楠-鹭岛国际三期,91.00㎡,西南,2室1厅1卫,中楼层（15层）,3600 元/月,CD2813192454772097024,2021-06-27,104.016718,30.652062,整租,/权属核验/近地铁/精装/,有,租用车位,民水,民电,有,自采暖,2021-07-02 17:26:15,成都
武侯-棕北-首航欣程,38.15㎡,西南,1室0厅0卫,地下室,300 元/月,CD2784638633708363776,2021-06-27,104.076521,30.627637,整租,/权属核验/近地铁/,无,暂无数据,暂无数据,暂无数据,无,自采暖,2021-07-02 17:26:23,成都
武侯-丽都-优客联邦一期,64.20㎡,东南,1室1厅1卫,高楼层（15层）,2600 元/月,CD2813189725111205888,2021-06-27,104.03824234,30.63947438,整租,/权属核验/近地铁/精装/,有,租用车位,民水,民电,有,暂无数据,2021-07-02 17:26:31,成都
武侯-丽都-红城,94.25㎡,东北,3室2厅2卫,低楼层（18层）,3500 元/月,CD2814322719565553664,2021-06-30,104.033353,30.632489,整租,/权属核验/精装/双卫生间/,有,暂无数据,民水,民电,有,自采暖,2021-07-02 17:26:39,成都
武侯-棕北-首航欣程,69.91㎡,南,2室2厅1卫,低楼层（32层）,3500 元/月,CD2813849868068724736,2021-06-29,104.076521,30.627637,整租,/权属核验/精装/,有,租用车位,民水,民电,有,自采暖,2021-07-02 17:26:45,成都
武侯-红牌楼-武侯国际花园,66.61㎡,西南,1室1厅1卫,低楼层（13层）,2300 元/月,CD2814533954857091072,2021-06-27,104.022701,30.642236,整租,/权属核验/月租/,有,暂无数据,民水,民电,有,自采暖,2021-07-02 17:26:53,成都
武侯-五大花园-园中园北苑,138.00㎡,东南,3室1厅2卫,高楼层（7层）,2500 元/月,CD2814507000002781184,2021-06-30,104.007832,30.650989,整租,/权属核验/双卫生间/随时看房/,无,暂无数据,民水,民电,有,自采暖,2021-07-02 17:27:02,成都
武侯-外双楠-嘉瑞苑二期,186.68㎡,南,4室2厅2卫,高楼层（6层）,4800 元/月,CD2731877580725551104,2021-06-27,104.02111509,30.65541985,整租,/权属核验/近地铁/精装/双卫生间/随时看房/,无,暂无数据,民水,民电,有,自采暖,2021-07-02 17:27:10,成都
